batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:01:40.350,0:01:41.760,1410,"['Wir', 'verlieren', 'noch', 'den', 'Auflieger', '.']",batman_the_killing_joke_2016_german_720p_bluray_23.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:01:41.935,0:01:44.017,2082,"['Nicht', ',', 'wenn', 'es', 'uns', 'gelingt', ',', 'die', 'Cops', 'abzuschütteln', '.']",batman_the_killing_joke_2016_german_720p_bluray_24.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:01:47.566,0:01:48.555,989,"['(', 'SCHREI', ')']",batman_the_killing_joke_2016_german_720p_bluray_25.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:02.247,0:02:03.532,1285,"['(', 'REIFEN', 'QUIETSCHEN', ')']",batman_the_killing_joke_2016_german_720p_bluray_26.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:06.710,0:02:08.871,2161,"['Ich', 'glaube', ',', 'das', 'wird', ""'ne"", 'denkwürdige', 'Nacht', '.']",batman_the_killing_joke_2016_german_720p_bluray_27.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:09.046,0:02:10.035,989,"['(', 'SCHNAPPT', 'NACH', 'LUFT', ')']",batman_the_killing_joke_2016_german_720p_bluray_28.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:11.298,0:02:12.413,1115,"['Was', 'für', ""'ne"", 'Kacke', '...']",batman_the_killing_joke_2016_german_720p_bluray_29.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:14.217,0:02:15.206,989,"['(', 'PIEPSTON', ')']",batman_the_killing_joke_2016_german_720p_bluray_30.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:15.385,0:02:16.875,1490,"['Vorsicht', ',', 'gleich', 'rumpelt', '‘', 's', 'bei', 'euch', '!']",batman_the_killing_joke_2016_german_720p_bluray_31.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:20.515,0:02:21.504,989,"['(', 'HUSTEN', ')']",batman_the_killing_joke_2016_german_720p_bluray_32.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:24.061,0:02:25.050,989,"['(', 'PIEPSTON', ')']",batman_the_killing_joke_2016_german_720p_bluray_33.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:29.900,0:02:31.060,1160,"['(', 'REIFEN', 'QUIETSCHEN', ')']",batman_the_killing_joke_2016_german_720p_bluray_34.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:33.445,0:02:35.060,1615,"['Okay', '.', 'Kopple', 'das', 'Ding', 'ab', '!']",batman_the_killing_joke_2016_german_720p_bluray_35.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:36.615,0:02:37.855,1240,"['(', 'PFEIFGERÄUSCH', ')']",batman_the_killing_joke_2016_german_720p_bluray_36.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:47.584,0:02:48.573,989,"['(', 'AU', 'FPRALLLAUTE', ')']",batman_the_killing_joke_2016_german_720p_bluray_37.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:50.337,0:02:51.326,989,"['(', 'SCHÜSSE', ')']",batman_the_killing_joke_2016_german_720p_bluray_38.mkv
batman.the.killing.joke.2016.german.720p.bluray.x264-doucement.mkv,0:02:57.511,0:02:58.500,989,"['(', 'ÄCHZT', ')']",batman_the_killing_joke_2016_german_720p_bluray_39.mkv
